ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,Salary
604399,f,22-10-1990,87.8,cbse,2009,84,cbse,6920,1,B.Tech/B.E.,instrumentation and control engineering,,6920,1,Delhi,2013,650,665,810,0.694479328,485,445000
988334,m,15-05-1990,57,cbse,2010,64.5,cbse,6624,2,B.Tech/B.E.,computer science & engineering,65,6624,0,Uttar Pradesh,2014,440,435,210,0.3423149,365,
301647,m,21-08-1989,77.33,"maharashtra state board,pune",2007,85.17,amravati divisional board,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,Maharashtra,2011,485,475,505,0.824666401,-1,255000
582313,m,04-05-1991,84.3,cbse,2009,86,cbse,8195,1,B.Tech/B.E.,computer science & engineering,80.4,8195,1,Delhi,2013,675,620,635,0.990008757,655,420000
339001,f,30-10-1990,82,cbse,2008,75,cbse,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,Tamil Nadu,2012,575,495,365,0.278457409,315,200000
609356,f,02-12-1989,83.16,icse,2007,77,cbse,10950,1,M.Tech./M.E.,instrumentation and control engineering,99.93,10950,0,Punjab,2013,535,595,620,0.376059587,455,440000
1081649,f,17-04-1989,72.5,state board,2007,53.2,state board,14381,2,B.Tech/B.E.,mechanical engineering,,14381,1,West Bengal,2013,510,495,405,0.8295846,-1,150000
610842,f,11-04-1991,,state board,2009,88,state board,13208,2,B.Tech/B.E.,computer science & engineering,,13208,1,Telangana,2013,370,470,280,0.704090412,465,105000
1183070,m,25-11-1992,76.8,state board,2010,87.7,state board,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,Andhra Pradesh,2014,510,555,440,0.744758354,525,195000
794062,f,15-03-1993,57,state board,2009,73,state board,8346,2,B.Tech/B.E.,computer science & engineering,,8346,0,Uttar Pradesh,2014,500,410,560,0.622642916,385,200000
1088206,m,21-06-1990,77,state board,2008,75,state board,13424,2,B.Tech/B.E.,electronics & telecommunications,,13424,0,Maharashtra,2013,675,630,485,0.20739217,405,
1279958,m,02-07-1992,81.2,state board,2008,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1,495,300000
471413,f,24-12-1991,85,delhi board,2009,88,all india board,57,2,B.Tech/B.E.,information technology,,57,0,Haryana,2013,495,445,605,0.765673581,485,480000
1088423,f,09-08-1992,90,state board,2009,82.1,state board,2998,2,B.Tech/B.E.,computer science & engineering,85,2998,0,Telangana,2014,640,530,705,0.486747008,615,550000
